arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,98ca78d1812f6f8e20562c23a9d45398ce58f85c6265f67d06c390e970ab9337,0.0010801989719499642,0.002970395466604769,0.003657298416718398,0.16237113402061856,1.2917142986314286e-06,0.0016129032258064516,0.00012148808463734074,0.018518518518518517,0.0005407176721454869,0.05
random,0.05,113,4460d7439e611ae4dbfb5239dd3c1078d4ea95a15f17ab685fe2794b8476d112,0.0018694212338771575,0.006147730955397722,0.006228654664852677,0.20412371134020618,0.00010393604564939594,0.03387096774193548,0.00012001200120012002,0.0037037037037037034,0.0010250822238064364,0.045454545454545456
random,0.1,226,587d0e5c55b1638e3400943f60875da550564786e273814745f81041e67897dd,0.005847248245688591,0.019372820239576673,0.0190569982801649,0.2912371134020619,0.0014785420846073266,0.1661290322580645,0.0006017838792751265,0.018518518518518517,0.0022516687387070114,0.1
random,0.2,451,b75db49914c25548d5fb7115dddc953f3782c7440ba4bed9eda9273dbd889ec9,0.01666092026256095,0.05021000450823494,0.04392076468042228,0.33505154639175255,0.007545177946328045,0.3241935483870968,0.006576755634747149,0.07407407407407407,0.008600982788746329,0.2795454545454546
coreset,0.05,113,a978192a6bd6b71cb12c2f74c9a6ca247992d8dd970575e4351aa822c018c9bb,0.0009526465599933788,0.002651114820368433,0.002456103720449319,0.17422680412371136,1.627663894718041e-05,0.004838709677419355,0.0,0.0,0.0013382058805770161,0.038636363636363635
coreset,0.1,226,2798d81fcf05d98ebeeb79e6b0a4872603c416aa166c4cd3835b75d53cffe101,0.01029494212671665,0.029007338637238624,0.01909701305478075,0.30412371134020616,0.0006933438159543633,0.13225806451612904,0.0007876033505823074,0.03333333333333333,0.02060180828554919,0.2272727272727273
coreset,0.2,451,79f265c1dbb7f323cbf3563638f48f3248fb3fca192a9d0c4f29717d04331954,0.02508268434277657,0.0711864455555299,0.05865219580407942,0.34329896907216495,0.013081353871829847,0.3,0.004471501204174472,0.04074074074074074,0.02412568649102253,0.3227272727272727
hybrid,0.05,113,a631c890923e8532bb1889ec52888e13a3ad4ea5f2e02d64caa5454e39a20838,0.001192789595897231,0.0034907038492235603,0.003756036290690798,0.22783505154639175,3.7560660466653645e-07,0.0016129032258064516,0.0,0.0,0.0010147464862934599,0.02727272727272727
hybrid,0.1,226,798d311bfa68c2903b08b83c3d247d24dc8dd015ee129c9c1ae44583f8df7710,0.022780538176814937,0.06461598193074868,0.04404190511231368,0.3309278350515464,0.0020785812949998955,0.18225806451612903,0.01648173689942544,0.07777777777777778,0.028519929400520748,0.25227272727272726
hybrid,0.2,451,c2167577b3c274fe8e0b14119e8bd2bf8d93b44802e91e6e1d0346f1e16c4d5a,0.02330512629961695,0.06817527352598071,0.060056429254466345,0.37731958762886597,0.019423687723585513,0.24516129032258066,0.004289611949164088,0.07407407407407407,0.009450776271251833,0.22954545454545455
