arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,d164bb1af92df78522b11e7678ec18c317e382b8f3ba34c2654b542b84b6c9db,0.0004663531430672018,0.0015304107955228844,0.001455203403228802,0.12164948453608246,0.00021356124696106447,0.0532258064516129,0.0,0.0,0.00019664792207894024,0.02954545454545454
random,0.05,113,f940c82276fefaebaab5c90649f4d9ae7c77068c1fcd42d710aaaa1e12f8054c,0.002890758911450019,0.008243649630834002,0.004900871341757102,0.23711340206185566,0.0003681633319268955,0.058064516129032254,0.0003045952435775139,0.018518518518518517,0.005989405728538564,0.11590909090909089
random,0.1,226,edc7574ecbf758169226e9eb9440921d074dad64497c5540f20112e01ca47a29,0.010839996290617573,0.03693070035196853,0.03227775845494778,0.3237113402061856,0.002356994498881606,0.25161290322580643,0.005493797686495223,0.1037037037037037,0.0032314345221456683,0.13636363636363638
random,0.2,451,584e980aaaec11ab791dbc4e144bdd4cc566f7284e7dffdba516026f837153bc,0.01713786332945233,0.046164114515203934,0.04889119027944162,0.33505154639175255,0.0065763369556949385,0.34516129032258064,0.00440699038252645,0.13333333333333333,0.00867693570014633,0.18863636363636366
coreset,0.05,113,f1bb68eaa155363825d57ec9689ef8b03858ee32cb37777bf3c7d975f406957f,0.0005595852239548355,0.002342465619032457,0.0017552758838364436,0.1515463917525773,0.00018011706831060463,0.01129032258064516,0.0002929428149958241,0.04444444444444444,1.0005128676469946e-05,0.011363636363636364
coreset,0.1,226,305b79bdd47872d8ad690824b1b21ae1a08ed624cc45736f6ccb9d1950c0f78e,0.014670625854842878,0.04303298436766443,0.027894934254211166,0.31701030927835044,0.0018771449701330094,0.1274193548387097,0.0162611387039429,0.059259259259259255,0.012649285491084442,0.18409090909090908
coreset,0.2,451,ca9385a9026a6aa85fe44ddbc0b1b7669f55bef19a5eb82fa4648ecba5af0678,0.0251756617861459,0.07107380467821146,0.05455536009720944,0.3582474226804123,0.013001579219270218,0.25161290322580643,0.021713220769569188,0.14444444444444443,0.011432487058534729,0.19772727272727275
hybrid,0.05,113,640ae1fd9f9d4f9ab8938225653ba4704f1eba2254f4b15d0f5acfbfeb67b5a0,0.003077392123552042,0.009232363636800356,0.004360516952385778,0.20103092783505155,0.002406193909580945,0.05161290322580645,0.005280528052805281,0.014814814814814814,0.00026232957943616485,0.05227272727272727
hybrid,0.1,226,0399d3e7e6a0200bc9c893dba327b06bc3e005e8d7f183bf133885d27014e4d0,0.012141202632394231,0.03829773713132502,0.03398406390984977,0.31185567010309273,0.0073413592689228774,0.22903225806451616,0.0022435821626537247,0.059259259259259255,0.004995805188150557,0.2636363636363636
hybrid,0.2,451,31fc7375f8f12cfa0a280f0ab1765cf794f1f1d597c936765eb8b2e509995eb9,0.025032561200949332,0.07384528062922553,0.062292087426184466,0.3432989690721649,0.012394191335693772,0.3064516129032258,0.006378671282070591,0.07777777777777777,0.01906529475984848,0.32045454545454544
