arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,d3a96498a12002ba30979389907f86ca1170ee6d28d1c6d2666455abe7642363,0.00523136782059706,0.00978952204844852,0.0012369903197965249,0.14123711340206185,0.0003318664747801832,0.01935483870967742,0.0,0.0,0.019356614487811532,0.0659090909090909
random,0.05,113,d56bef12c1f9da8fdf67772975ecf3b2bbbd563c374d60914e85082a923747c1,0.004314752432852226,0.010938350366703703,0.013243803680956687,0.22061855670103095,0.00033339983357798264,0.06451612903225806,2.7430372523356614e-05,0.018518518518518517,0.0036543758443508788,0.12272727272727271
random,0.1,226,64276b41e72546efa8317155acf3844e3b4f49aba06a3285a943991d85ad7eab,0.015369024745674245,0.04387326997860613,0.03975895224232528,0.3391752577319588,0.006547701119161212,0.3306451612903226,0.0035667056845633746,0.1222222222222222,0.011602739936647111,0.2909090909090909
random,0.2,451,4feaa769c6bbaf45dee7c7461f7776de28a9e8cacecdd81b6f1129e38a383953,0.029207476807055557,0.09503183898039017,0.06144938172681424,0.3855670103092783,0.007893630417553225,0.33225806451612905,0.028629299699600028,0.2814814814814815,0.018857595384254734,0.2977272727272728
entropy,0.05,113,fab1d29ee212eccd0a1cfb8aa5b5fcfd4dc33cd6a676ea687822a5e8a638ab68,0.0029682346654690502,0.010629359129670914,0.0045496111922322694,0.27113402061855674,0.001017514497998205,0.08548387096774193,0.0017810142218235199,0.04444444444444444,0.004524798749822206,0.09545454545454544
entropy,0.1,226,a082ee77d7f0a0c3936a3f0fa5d1294cd0bf690283bf692a1cc3a4d3b275be01,0.01893173105725965,0.06006334459217411,0.029271228375528396,0.3582474226804123,0.0032533806570514225,0.2790322580645161,0.03323241152619616,0.27037037037037037,0.009969903670262606,0.2863636363636364
entropy,0.2,451,6c798b3d76e5481fa02b56f60f3657380f6669c293c2b4b95b599d1ae08e4c44,0.041200180595740106,0.11572406176798099,0.07062352023184278,0.3747422680412371,0.0166115397000247,0.3758064516129032,0.054867085807749454,0.3296296296296296,0.022698576643343484,0.31818181818181823
margin,0.05,113,5c9410a034674a10ba8517a5823ba86e06d9153120f3c421ebbfa41e2df27e55,0.0032131828128973442,0.008929016475884911,0.006090510877408003,0.2788659793814433,0.003779521068326932,0.12096774193548387,0.0020879809499937335,0.037037037037037035,0.00089471835586071,0.07727272727272727
margin,0.1,226,1db4167d5efad19f5b460669fac031b6923308272d684ef842d4e31ee43c2312,0.0187282013448922,0.045665870653220704,0.029177895424700496,0.37061855670103083,0.013144750713504441,0.27741935483870966,0.010159045410061445,0.22592592592592592,0.022431113831302432,0.18409090909090906
margin,0.2,451,9f4101ac5dfe6f137e86ecb82cabd06d65c61c8f1b65899dc38553319c91b610,0.03203745660842326,0.10594844879849205,0.06304723649416928,0.35927835051546386,0.014933823251572434,0.31129032258064515,0.03958805509668962,0.2925925925925926,0.010580711591261734,0.3363636363636363
