arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,3fa49828c51fa76004ccaa83bd7e1e78831a76ba649b733ca35bd9af3cfe45b8,0.0006485061392984802,0.0021703768853915326,0.002057250277298989,0.13814432989690723,3.3103699710443325e-05,0.020967741935483872,0.0,0.0,0.0005036705801844888,0.038636363636363635
random,0.05,113,a6d7768b0e7171b02ac1e4eb666c9a080ae6cdc72883393e90f182f47f7e2c65,0.005387140495802452,0.017464205063105795,0.010572689203762474,0.2556701030927835,0.001283600797200315,0.061290322580645165,0.00013403134593166122,0.04444444444444444,0.009558240636315355,0.125
random,0.1,226,517d145f9f3f63602d0b8f985bff802ef9566677a543e8f4788160da7d5989c5,0.009173272145823128,0.032179422568968434,0.02352315379025341,0.30824742268041233,0.002704864410273918,0.23225806451612901,0.008153352876210357,0.13333333333333333,0.0023117175065548337,0.17272727272727273
random,0.2,451,934113c701a84c529e009b402ef2d95cf9ab513af2197815b4c9e4d890506e2a,0.020257107315219115,0.06708806521826509,0.05484070974925428,0.34690721649484535,0.007922148108827106,0.32419354838709674,0.013111382775722753,0.14814814814814814,0.0051541886270723095,0.22954545454545455
entropy,0.05,113,a6c8fd9d5bedc38d09ca7301990265e1606c28dfcbbb126104d57e3795800a09,0.002502349897186399,0.007797056428932997,0.007816839481232445,0.22010309278350518,0.000700725689662516,0.08548387096774193,0.0006963263577748996,0.08888888888888888,0.0007955080600757353,0.1431818181818182
entropy,0.1,226,431e214c17bc179c829eabc0215b4c3a48674a1dc6a496617f40b74c936d11fd,0.011670423383085288,0.03230140529280172,0.030791377287887996,0.32525773195876295,0.010230721094976794,0.2758064516129032,0.004351501281001738,0.17037037037037037,0.001308093868474622,0.21136363636363636
entropy,0.2,451,6ac677645602140c52b600e06a1e9edf8d81b68fc25b5be74bb68ba7682faf8f,0.035628787822811654,0.1053251408375957,0.07849687606507443,0.3654639175257732,0.01036784086793773,0.3661290322580645,0.04365205337647969,0.2185185185185185,0.00999838098175473,0.2522727272727273
margin,0.05,113,7b82a83c0e3149bed9b41345c38b2a76e383b304b6f00ff3f1103fbb60284870,0.0015446613475011482,0.005946531344842439,0.004056614579328486,0.1860824742268041,0.0006656972676126556,0.08225806451612903,0.0004267669099137707,0.037037037037037035,0.0010295666331496794,0.12045454545454544
margin,0.1,226,b1efc338e0a359682c20a8e18615b89553fe334776ce844dec6028e7ab9334d6,0.017166366044872008,0.04646070084929019,0.04470608283144313,0.32216494845360827,0.006243300689719513,0.2661290322580645,0.00833638762479032,0.18888888888888886,0.009379693033535067,0.22045454545454551
margin,0.2,451,fde4ba4b05c34ab40a4a90babc54d6484101377c1665e4c40503f4de23b5ae72,0.03428080391521825,0.10697213768493402,0.062065457667437075,0.33144329896907215,0.016189385057443956,0.35806451612903223,0.031046850727924957,0.22962962962962963,0.027821522208067,0.3113636363636364
