arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,1ad78e2832d2df850816605b49282c53d4eac3a59c0fa8b53009e91bb19be960,0.0020566500771237875,0.00582698108372679,0.0014957006524673854,0.07268041237113403,0.0013616896474480682,0.07258064516129033,2.545241670696633e-06,0.01111111111111111,0.005366664766909002,0.15
random,0.05,113,302547d176bfc6175b57bca860cd8b51f551c60eeb71159fb48036a2a686291d,0.012250765364196038,0.03627378924157699,0.02674766278026354,0.18659793814432987,0.0035611437432517437,0.2225806451612903,0.001709527562906942,0.06296296296296296,0.01698472737036192,0.125
random,0.1,226,5f5ab5d489c96e2539d6abc0d93d82b603ad6be0413dfb6ebcc17a127808497e,0.011338353708389547,0.034082132630270864,0.032653309672937364,0.25309278350515463,0.0076908423223761005,0.23709677419354835,0.0017910253837102685,0.06666666666666668,0.0032182374545344514,0.12954545454545452
random,0.2,451,f4de16648ac29ea96e75a94294729ab9db4592d7b0e12c37c1ec530a70636b31,0.025578545673919047,0.08615436262026265,0.06620177649345069,0.35206185567010306,0.015855702387498703,0.3629032258064516,0.01123643604575856,0.11481481481481479,0.009020267768968223,0.2363636363636364
entropy,0.05,113,8d77db81add6c2f79060c67f48c9acbc098f050e7def13ec243acdfc709cab6d,0.007577791487650249,0.022217893065882444,0.01770069108689565,0.16855670103092785,0.0016227286499172202,0.12096774193548387,0.002242031272755187,0.06666666666666667,0.008745714941032946,0.12954545454545455
entropy,0.1,226,b4d34e9cf85046bf05a857781fa4733929a04ac28ef4d230f2390a8ef4eae247,0.01888021346281884,0.06103623949703659,0.05058812827621038,0.24226804123711343,0.007359600993456398,0.2467741935483871,0.01182537599559843,0.08888888888888888,0.005747748586010164,0.20909090909090908
entropy,0.2,451,a153652036a95f1b23a4d1d72047044a2a6d4ee5ba100056a087c15ec148d794,0.031408208919218764,0.1036687876285727,0.0666222386647639,0.3474226804123711,0.019800449626516607,0.36774193548387096,0.032722192401268065,0.3333333333333333,0.006487954984326464,0.23863636363636362
margin,0.05,113,e772100e29c2c025efe468303d017115a179bb8094d38cc7eff0b1fea91e79d3,0.006806741274222773,0.020239787132751673,0.016364365952082568,0.1458762886597938,0.0033619695249780326,0.15645161290322582,0.0003192050082998275,0.029629629629629627,0.007181424611530663,0.2159090909090909
margin,0.1,226,e1d22d37b4fa210571839409fe480fe90879eece09ecbd8238490a43d6580b3a,0.019150881966626947,0.055101821161746375,0.03951649600129093,0.23556701030927832,0.0018260818768399164,0.25483870967741934,0.03468355912636684,0.30000000000000004,0.0005773908620101014,0.1340909090909091
margin,0.2,451,5188050569bcc367d3b845a8ff1e50daa2e05e214bcbd0afdc4a0f7b6bcb5480,0.03784390453153527,0.12159465577181319,0.053056498038427345,0.3685567010309278,0.02059737533575784,0.3612903225806452,0.05763735166600276,0.3,0.020084393085953146,0.3068181818181818
