arm,budget_fraction,budget,checkpoint_sha256,mAP50_95,AP50,AP50_95_D00,recall_D00,AP50_95_D10,recall_D10,AP50_95_D20,recall_D20,AP50_95_D40,recall_D40
shared,0.02,46,5a29a35ea6f8ac1c64da063be4aa1438c6e117c72c08b272a39c52d3d7ea3161,0.002518788414722185,0.006985685916635351,0.007914647561509369,0.12216494845360826,0.00013575360747491256,0.03870967741935484,0.0,0.0,0.0020247524899044598,0.08636363636363636
random,0.05,113,7e377848cdbebf69abb4a80260451ee1ecad67562258c7015605b88b8e2e03e8,0.010219940628875294,0.02810677664887332,0.03473449794218568,0.17989690721649484,0.0021107399971374164,0.11451612903225805,3.2146661276766926e-05,0.03333333333333333,0.004002377914901313,0.14772727272727273
random,0.1,226,3995d8f0b13cff95968e5eef58fd4229fa3a69904876ecfba43d03e245f4886f,0.014702371947044424,0.04961982467607402,0.03756083712855078,0.24536082474226806,0.00540703350353706,0.17419354838709677,0.009387461545730395,0.06666666666666667,0.0064541556103594735,0.07954545454545454
random,0.2,451,9c0e834b9276b400c6e0ecc13cddfbb21abbd9435973d8c45407b86aa387ab4e,0.02151677732130852,0.060205773754665654,0.05804781537498197,0.36082474226804123,0.008563990259032197,0.2935483870967742,0.01313346230021721,0.1,0.006321841351002691,0.17727272727272725
entropy,0.05,113,2dcdaa9da73dd7bad65bdccef7b0815a667d71af192a6e8bdbe65978ed994f07,0.006324272947039685,0.01872930111718021,0.01863536518595455,0.1747422680412371,0.0007239659620459844,0.1225806451612903,4.346145301659895e-05,0.014814814814814814,0.005894299187141609,0.12727272727272726
entropy,0.1,226,629c3c1f45945a2b119bb4d445915dab669cda74c660a94c5db3b57c20fbfe49,0.022866026690506382,0.060872023474025226,0.04290350230618828,0.25979381443298966,0.004794729301558642,0.18709677419354837,0.03825438641942306,0.17777777777777776,0.005511488734855558,0.27045454545454545
entropy,0.2,451,a013eb906792f4b576d7a88787c96299f2ba1eac7a36fbdfa23f59835e54f316,0.02930591094836445,0.10461394827423064,0.05612127293847894,0.3670103092783505,0.008244026853669265,0.31129032258064515,0.03607260268600793,0.18888888888888886,0.01678574131530165,0.25
margin,0.05,113,13cc6658327e24c3c977a44b96a6d5c89abea480e76be40d87f413a16aee19b4,0.004912368118817799,0.015656245326969936,0.018434835132323774,0.20927835051546392,0.0004291658694214925,0.1193548387096774,0.00014851485148514854,0.01111111111111111,0.0006369566220407831,0.031818181818181815
margin,0.1,226,5fb4538ef149ec62a5480058e4e59e8158a0af94586d912343a1537e0184abf0,0.019869177956384893,0.06467295910889291,0.04040933801894504,0.2845360824742268,0.012544572531877171,0.1967741935483871,0.009943260335885806,0.059259259259259255,0.01657954093883155,0.2772727272727273
margin,0.2,451,2cba14d3479bad1cd3fc8dd7ff1ffa84cf31e42a395adbaccae9ed738d7ef44a,0.0387721694595935,0.11462206218354186,0.07435846787876434,0.37577319587628866,0.011128621016232153,0.2967741935483871,0.04474665105555398,0.24074074074074076,0.024854937887823496,0.2840909090909091
