seed,delta_coreset,delta_hybrid,delta_random,experiment_id,min_recall_coreset,min_recall_hybrid,min_recall_random,naubc_coreset,naubc_hybrid,naubc_random,ratio_coreset,ratio_hybrid,ratio_random,reference_map
17,-0.0006829751139695688,0.0021267401418007606,0.0,lite-czech-ep18-div-s17-20260911T1411Z,0.137037037037037,0.1962962962962963,0.17037037037037037,0.013845541082879612,0.01665525633864994,0.014528516196849181,0.4013743630807036,0.5091933244691097,0.43031053420447507,0.06557124693431146
29,0.003310778848065382,0.002776614987178778,0.0,lite-czech-ep18-div-s29-20260911T1541Z,0.14444444444444443,0.07777777777777777,0.13333333333333333,0.013269215191803956,0.012735051330917352,0.009958436343738573,0.37591796877468375,0.37378121933093467,0.2558991627179831,0.06697115827744747
43,0.003988856989625189,0.008750787673155992,0.0,lite-czech-ep18-div-s43-20260911T1712Z,0.04074074074074074,0.07407407407407407,0.07407407407407407,0.01155868735345312,0.016320618036983925,0.007569830363827932,0.37672775154317273,0.350029833741171,0.25023761186717836,0.06658039987771411
